topic,h,p,v,ja,jt,hv
👨‍👩‍👧 Gia đình & con người,家人,jiārén,"người nhà, gia đình","家人(かじん)・ít dùng, tiếng Nhật dùng 家族",diff,gia nhân
👨‍👩‍👧 Gia đình & con người,父母,fùmǔ,cha mẹ,父母(ふぼ)・cùng nghĩa cha mẹ,same,phụ mẫu
👨‍👩‍👧 Gia đình & con người,父亲,fùqin,cha (trang trọng),父親(ふしん)・cùng nghĩa,same,phụ thân
👨‍👩‍👧 Gia đình & con người,母亲,mǔqin,mẹ (trang trọng),母親(ははおや)・cùng nghĩa,same,mẫu thân
👨‍👩‍👧 Gia đình & con người,儿子,érzi,con trai,,,nhi tử
👨‍👩‍👧 Gia đình & con người,女儿,nǚ'ér,con gái,,,nữ nhi
👨‍👩‍👧 Gia đình & con người,丈夫,zhàngfu,chồng,丈夫(じょうぶ)= khỏe mạnh/bền vững ⚠️ FALSE FRIEND,false,trượng phu
👨‍👩‍👧 Gia đình & con người,妻子,qīzi,vợ,妻子(さいし)= vợ và con (tiếng Nhật cổ)・nghĩa gần nhưng không đồng nhất,diff,thê tử
👨‍👩‍👧 Gia đình & con người,哥哥,gēge,anh trai,,,ca ca
👨‍👩‍👧 Gia đình & con người,姐姐,jiějie,chị gái,,,tỷ tỷ
👨‍👩‍👧 Gia đình & con người,弟弟,dìdi,em trai,,,đệ đệ
👨‍👩‍👧 Gia đình & con người,妹妹,mèimei,em gái,,,muội muội
👨‍👩‍👧 Gia đình & con người,爷爷,yéye,ông nội,,,da da
👨‍👩‍👧 Gia đình & con người,奶奶,nǎinai,bà nội,,,nãi nãi
👨‍👩‍👧 Gia đình & con người,外公,wàigōng,ông ngoại,,,ngoại công
👨‍👩‍👧 Gia đình & con người,外婆,wàipó,bà ngoại,,,ngoại bà
👨‍👩‍👧 Gia đình & con người,叔叔,shūshu,chú (em trai cha),,,thúc thúc
👨‍👩‍👧 Gia đình & con người,阿姨,āyí,dì/cô (em gái mẹ),,,a di
👨‍👩‍👧 Gia đình & con người,邻居,línjū,hàng xóm,"隣居・không dùng trong tiếng Nhật hiện đại, dùng 近所(きんじょ)",diff,lân cư
👨‍👩‍👧 Gia đình & con người,朋友,péngyou,bạn bè,"朋友(ほうゆう)・tiếng Nhật cổ/văn học, hiện dùng 友達",diff,bằng hữu
👨‍👩‍👧 Gia đình & con người,同事,tóngshì,đồng nghiệp,"同事(どうじ)・không dùng trong tiếng Nhật, dùng 同僚(どうりょう)",diff,đồng sự
👨‍👩‍👧 Gia đình & con người,同学,tóngxué,bạn cùng lớp,同学(どうがく)・không phổ biến tiếng Nhật,diff,đồng học
👨‍👩‍👧 Gia đình & con người,男人,nánrén,đàn ông,,,nam nhân
👨‍👩‍👧 Gia đình & con người,女人,nǚrén,phụ nữ,,,nữ nhân
👨‍👩‍👧 Gia đình & con người,孩子,háizi,đứa trẻ / con cái,,,hài tử
👨‍👩‍👧 Gia đình & con người,大人,dàren,người lớn,大人(おとな)・cùng nghĩa!,same,đại nhân
👨‍👩‍👧 Gia đình & con người,老人,lǎorén,người già,老人(ろうじん)・cùng nghĩa,same,lão nhân
👨‍👩‍👧 Gia đình & con người,年轻人,niánqīngrén,người trẻ,,,niên khinh nhân
👨‍👩‍👧 Gia đình & con người,自己,zìjǐ,"bản thân, tự mình",自己(じこ)・cùng nghĩa,same,tự kỷ
👨‍👩‍👧 Gia đình & con người,别人,biérén,người khác,,,biệt nhân
🏠 Nhà ở & môi trường sống,房间,fángjiān,phòng,"房間・không dùng trong tiếng Nhật, dùng 部屋(へや)",diff,phòng gian
🏠 Nhà ở & môi trường sống,卧室,wòshì,phòng ngủ,寝室(しんしつ)tiếng Nhật dùng khác chữ,diff,ngọa thất
🏠 Nhà ở & môi trường sống,客厅,kètīng,phòng khách,"客庁・không dùng, tiếng Nhật dùng リビング",diff,khách sảnh
🏠 Nhà ở & môi trường sống,厨房,chúfáng,nhà bếp,厨房(ちゅうぼう)・cùng nghĩa!,same,trù phòng
🏠 Nhà ở & môi trường sống,卫生间,wèishēngjiān,phòng vệ sinh,,,vệ sinh gian
🏠 Nhà ở & môi trường sống,楼上,lóushàng,tầng trên,,,lâu thượng
🏠 Nhà ở & môi trường sống,楼下,lóuxià,tầng dưới,,,lâu hạ
🏠 Nhà ở & môi trường sống,门口,ménkǒu,"cửa ra vào, trước cửa",,,môn khẩu
🏠 Nhà ở & môi trường sống,窗户,chuānghù,cửa sổ,,,song hộ
🏠 Nhà ở & môi trường sống,桌子,zhuōzi,cái bàn,"卓子・không dùng, tiếng Nhật dùng テーブル/机(つくえ)",diff,trác tử
🏠 Nhà ở & môi trường sống,椅子,yǐzi,cái ghế,椅子(いす)・cùng nghĩa!,same,y tử
🏠 Nhà ở & môi trường sống,床,chuáng,giường,,,sàng
🏠 Nhà ở & môi trường sống,灯,dēng,đèn,灯(ひ/あかり)・cùng nghĩa (kanji giống),same,đăng
🏠 Nhà ở & môi trường sống,电话,diànhuà,điện thoại,電話(でんわ)・cùng nghĩa!,same,điện thoại
🏠 Nhà ở & môi trường sống,电脑,diànnǎo,máy tính,電脳(でんのう)・trong tiếng Nhật = cyberspace (khác dùng thực tế),diff,điện não
🏠 Nhà ở & môi trường sống,电视,diànshì,tivi,"電視・không dùng, tiếng Nhật dùng テレビ",diff,điện thị
🏠 Nhà ở & môi trường sống,冰箱,bīngxiāng,tủ lạnh,"冰箱・không dùng, tiếng Nhật dùng 冷蔵庫(れいぞうこ)",diff,băng tương
🏠 Nhà ở & môi trường sống,空调,kōngtiáo,máy điều hòa,,,không điều
🏠 Nhà ở & môi trường sống,钥匙,yàoshi,chìa khóa,鍵(かぎ)tiếng Nhật dùng khác,diff,diệu thị
🏠 Nhà ở & môi trường sống,地方,dìfang,"nơi chốn, địa điểm",地方(ちほう)= vùng/miền ⚠️ FALSE FRIEND,false,địa phương
🏠 Nhà ở & môi trường sống,地址,dìzhǐ,địa chỉ,住所(じゅうしょ)tiếng Nhật dùng khác,diff,địa chỉ
🏠 Nhà ở & môi trường sống,楼,lóu,"tòa nhà, tầng lầu",,,lâu
🏠 Nhà ở & môi trường sống,小区,xiǎoqū,khu dân cư,,,tiểu khu
🏠 Nhà ở & môi trường sống,附近,fùjìn,"gần đây, lân cận",付近(ふきん)・cùng nghĩa!,same,phụ cận
🏠 Nhà ở & môi trường sống,旁边,pángbiān,bên cạnh,,,bàng biên
🏠 Nhà ở & môi trường sống,左边,zuǒbiān,bên trái,,,tả biên
🏠 Nhà ở & môi trường sống,右边,yòubiān,bên phải,,,hữu biên
🏠 Nhà ở & môi trường sống,里面,lǐmiàn,bên trong,,,lý diện
🏠 Nhà ở & môi trường sống,外面,wàimiàn,bên ngoài,,,ngoại diện
🏠 Nhà ở & môi trường sống,上面,shàngmiàn,phía trên,,,thượng diện
🏠 Nhà ở & môi trường sống,下面,xiàmiàn,phía dưới,,,hạ diện
🍜 Ẩm thực & mua sắm,饭馆,fànguǎn,"nhà hàng, quán cơm",,,phạn quán
🍜 Ẩm thực & mua sắm,菜单,càidān,thực đơn,,,thái đơn
🍜 Ẩm thực & mua sắm,点菜,diǎn cài,gọi món,,,điểm thái
🍜 Ẩm thực & mua sắm,服务员,fúwùyuán,nhân viên phục vụ,,,phục vụ viên
🍜 Ẩm thực & mua sắm,米饭,mǐfàn,cơm trắng,,,mễ phạn
🍜 Ẩm thực & mua sắm,面条,miàntiáo,mì sợi,,,diện điều
🍜 Ẩm thực & mua sắm,饺子,jiǎozi,sủi cảo,,,giảo tử
🍜 Ẩm thực & mua sắm,包子,bāozi,bánh bao,,,bao tử
🍜 Ẩm thực & mua sắm,鸡蛋,jīdàn,trứng gà,,,kê đản
🍜 Ẩm thực & mua sắm,蔬菜,shūcài,rau củ,,,sơ thái
🍜 Ẩm thực & mua sắm,水果,shuǐguǒ,trái cây,,,thủy quả
🍜 Ẩm thực & mua sắm,肉,ròu,thịt,,,nhục
🍜 Ẩm thực & mua sắm,鱼,yú,cá,,,ngư
🍜 Ẩm thực & mua sắm,汤,tāng,"canh, súp",湯(ゆ/とう)= nước nóng/tắm ⚠️ FALSE FRIEND,false,thang
🍜 Ẩm thực & mua sắm,饮料,yǐnliào,đồ uống,,,ẩm liệu
🍜 Ẩm thực & mua sắm,啤酒,píjiǔ,bia,"啤酒・không dùng, tiếng Nhật dùng ビール",diff,ty tửu
🍜 Ẩm thực & mua sắm,咖啡,kāfēi,cà phê,コーヒー tiếng Nhật dùng katakana,diff,cà phê
🍜 Ẩm thực & mua sắm,茶,chá,trà,茶(ちゃ)・cùng nghĩa!,same,trà
🍜 Ẩm thực & mua sắm,超市,chāoshì,siêu thị,,,siêu thị
🍜 Ẩm thực & mua sắm,商店,shāngdiàn,cửa hàng,商店(しょうてん)・cùng nghĩa!,same,thương điếm
🍜 Ẩm thực & mua sắm,市场,shìchǎng,"chợ, thị trường",市場(いちば/しじょう)・cùng nghĩa,same,thị trường
🍜 Ẩm thực & mua sắm,价格,jiàgé,giá cả,価格(かかく)・cùng nghĩa!,same,giá cách
🍜 Ẩm thực & mua sắm,便宜,piányí,rẻ,,,tiện nghi
🍜 Ẩm thực & mua sắm,贵,guì,"đắt, quý",貴(とうとい)・tiếng Nhật = quý giá (ít dùng đơn lẻ),diff,quý
🍜 Ẩm thực & mua sắm,打折,dǎzhé,giảm giá,,,đả chiết
🍜 Ẩm thực & mua sắm,收据,shōujù,"hóa đơn, biên lai",,,thu cứ
🍜 Ẩm thực & mua sắm,付钱,fùqián,trả tiền,,,phó tiền
🍜 Ẩm thực & mua sắm,零钱,língqián,tiền lẻ,,,linh tiền
🍜 Ẩm thực & mua sắm,信用卡,xìnyòngkǎ,thẻ tín dụng,,,tín dụng thẻ
🍜 Ẩm thực & mua sắm,购物,gòuwù,mua sắm,,,cấu vật
🚌 Giao thông & đi lại,飞机,fēijī,máy bay,飛行機(ひこうき)・tiếng Nhật dùng chữ khác,diff,phi cơ
🚌 Giao thông & đi lại,火车,huǒchē,tàu hỏa,火車(かしゃ)= trong địa ngục theo tiếng Nhật cổ ⚠️ FALSE FRIEND thú vị,false,hỏa xa
🚌 Giao thông & đi lại,地铁,dìtiě,tàu điện ngầm,地下鉄(ちかてつ)・tiếng Nhật dùng chữ khác,diff,địa thiết
🚌 Giao thông & đi lại,公共汽车,gōnggòng qìchē,xe buýt,,,công cộng khí xa
🚌 Giao thông & đi lại,出租车,chūzūchē,taxi,,,xuất tô xa
🚌 Giao thông & đi lại,自行车,zìxíngchē,xe đạp,自転車(じてんしゃ)・tiếng Nhật dùng 自転車,diff,tự hành xa
🚌 Giao thông & đi lại,摩托车,mótuōchē,xe máy,,,ma thác xa
🚌 Giao thông & đi lại,汽车,qìchē,"ô tô, xe hơi",汽車(きしゃ)= tàu hỏa chạy hơi nước ⚠️ FALSE FRIEND,false,khí xa
🚌 Giao thông & đi lại,司机,sījī,tài xế,,,tư cơ
🚌 Giao thông & đi lại,乘客,chéngkè,hành khách,乗客(じょうきゃく)・cùng nghĩa (chữ hơi khác),same,thừa khách
🚌 Giao thông & đi lại,站,zhàn,"trạm, ga",駅(えき)tiếng Nhật chỉ dùng cho tàu điện,diff,trạm
🚌 Giao thông & đi lại,机场,jīchǎng,sân bay,空港(くうこう)・tiếng Nhật dùng chữ khác,diff,cơ trường
🚌 Giao thông & đi lại,车站,chēzhàn,"bến xe, ga",,,xa trạm
🚌 Giao thông & đi lại,路,lù,"đường, con đường",路(みち/ろ)・cùng nghĩa,same,lộ
🚌 Giao thông & đi lại,堵车,dǔchē,tắc đường,,,đổ xa
🚌 Giao thông & đi lại,红绿灯,hónglǜdēng,đèn giao thông,,,hồng lục đăng
🚌 Giao thông & đi lại,地图,dìtú,bản đồ,地図(ちず)・cùng nghĩa!,same,địa đồ
🚌 Giao thông & đi lại,方向,fāngxiàng,"hướng, phương hướng",方向(ほうこう)・cùng nghĩa!,same,phương hướng
🚌 Giao thông & đi lại,左转,zuǒzhuǎn,rẽ trái,,,tả chuyển
🚌 Giao thông & đi lại,右转,yòuzhuǎn,rẽ phải,,,hữu chuyển
🚌 Giao thông & đi lại,直走,zhízǒu,đi thẳng,,,trực tẩu
🚌 Giao thông & đi lại,过马路,guò mǎlù,qua đường,,,quá mã lộ
🚌 Giao thông & đi lại,行李,xínglǐ,hành lý,荷物(にもつ)・tiếng Nhật dùng khác,diff,hành lý
🚌 Giao thông & đi lại,护照,hùzhào,hộ chiếu,,,hộ chiếu
🚌 Giao thông & đi lại,签证,qiānzhèng,visa,,,tiêm chứng
🚌 Giao thông & đi lại,订票,dìng piào,đặt vé,,,đặt phiếu
🚌 Giao thông & đi lại,出发,chūfā,khởi hành,出発(しゅっぱつ)・cùng nghĩa!,same,xuất phát
🚌 Giao thông & đi lại,到达,dàodá,đến nơi,到達(とうたつ)・cùng nghĩa!,same,đáo đạt
🚌 Giao thông & đi lại,迟到,chídào,đến trễ,"遅到・không dùng, tiếng Nhật dùng 遅刻(ちこく)",diff,trì đáo
🚌 Giao thông & đi lại,附近,fùjìn,gần đây,,,phụ cận
🎓 Học tập & trường học,学校,xuéxiào,trường học,学校(がっこう)・cùng nghĩa!,same,học hiệu
🎓 Học tập & trường học,大学,dàxué,đại học,大学(だいがく)・cùng nghĩa!,same,đại học
🎓 Học tập & trường học,老师,lǎoshī,"giáo viên, thầy/cô","老師・không thông dụng trong tiếng Nhật, dùng 先生(せんせい)",diff,lão sư
🎓 Học tập & trường học,学生,xuéshēng,"học sinh, sinh viên",学生(がくせい)・cùng nghĩa!,same,học sinh
🎓 Học tập & trường học,教室,jiàoshì,"lớp học, phòng học",教室(きょうしつ)・cùng nghĩa!,same,giáo thất
🎓 Học tập & trường học,图书馆,túshūguǎn,thư viện,図書館(としょかん)・cùng nghĩa! (chữ hơi khác 図vs图),same,đồ thư quán
🎓 Học tập & trường học,课,kè,"bài học, tiết học",課(か)= phần/chương ⚠️ nghĩa hơi khác,diff,khóa
🎓 Học tập & trường học,作业,zuòyè,bài tập về nhà,作業(さぎょう)= công việc/thao tác ⚠️ FALSE FRIEND,false,tác nghiệp
🎓 Học tập & trường học,考试,kǎoshì,"kỳ thi, kiểm tra","考試・không dùng, tiếng Nhật dùng 試験(しけん)",diff,khảo thí
🎓 Học tập & trường học,成绩,chéngjī,"thành tích, điểm số",成績(せいせき)・cùng nghĩa!,same,thành tích
🎓 Học tập & trường học,复习,fùxí,ôn tập,復習(ふくしゅう)・cùng nghĩa!,same,phục tập
🎓 Học tập & trường học,预习,yùxí,học trước bài mới,,,dự tập
🎓 Học tập & trường học,练习,liànxí,luyện tập,練習(れんしゅう)・cùng nghĩa!,same,luyện tập
🎓 Học tập & trường học,汉语,hànyǔ,tiếng Trung (Hán),,,Hán ngữ
🎓 Học tập & trường học,普通话,pǔtōnghuà,tiếng Phổ thông (Mandarin),,,phổ thông thoại
🎓 Học tập & trường học,词语,cíyǔ,từ ngữ,語彙(ごい)・tiếng Nhật dùng khác,diff,từ ngữ
🎓 Học tập & trường học,语法,yǔfǎ,ngữ pháp,文法(ぶんぽう)・tiếng Nhật dùng chữ khác,diff,ngữ pháp
🎓 Học tập & trường học,词典,cídiǎn,từ điển,,,từ điển
🎓 Học tập & trường học,笔记,bǐjì,"ghi chép, vở ghi",筆記(ひっき)・cùng nghĩa!,same,bút ký
🎓 Học tập & trường học,黑板,hēibǎn,bảng đen,黒板(こくばん)・cùng nghĩa!,same,hắc bản
🎓 Học tập & trường học,铅笔,qiānbǐ,bút chì,鉛筆(えんぴつ)・cùng nghĩa!,same,duyên bút
🎓 Học tập & trường học,钢笔,gāngbǐ,bút mực,,,cương bút
🎓 Học tập & trường học,橡皮,xiàngpí,cục tẩy,,,tượng bì
🎓 Học tập & trường học,书包,shūbāo,cặp sách,,,thư bao
🎓 Học tập & trường học,年级,niánjí,khối lớp,"年級・ít dùng trong tiếng Nhật, dùng 学年(がくねん)",diff,niên cấp
🎓 Học tập & trường học,班,bān,lớp học,班(はん)= tổ nhóm nhỏ ⚠️ nghĩa hơi khác,diff,ban
🎓 Học tập & trường học,毕业,bìyè,tốt nghiệp,卒業(そつぎょう)・tiếng Nhật dùng chữ khác,diff,tốt nghiệp
🎓 Học tập & trường học,入学,rùxué,nhập học,入学(にゅうがく)・cùng nghĩa!,same,nhập học
🎓 Học tập & trường học,奖学金,jiǎngxuéjīn,học bổng,奨学金(しょうがくきん)・cùng nghĩa!,same,tưởng học kim
🎓 Học tập & trường học,留学生,liúxuéshēng,du học sinh,留学生(りゅうがくせい)・cùng nghĩa!,same,lưu học sinh
💼 Công việc & kinh doanh,公司,gōngsī,công ty,"公司・không dùng, tiếng Nhật dùng 会社(かいしゃ)",diff,công ty
💼 Công việc & kinh doanh,工作,gōngzuò,"công việc, làm việc",工作(こうさく)= thủ công/chế tạo ⚠️ FALSE FRIEND,false,công tác
💼 Công việc & kinh doanh,上班,shàngbān,đi làm,,,thượng ban
💼 Công việc & kinh doanh,下班,xiàbān,"tan làm, tan ca",,,hạ ban
💼 Công việc & kinh doanh,同事,tóngshì,đồng nghiệp,,,đồng sự
💼 Công việc & kinh doanh,老板,lǎobǎn,"sếp, chủ","老板・không dùng, tiếng Nhật dùng 上司(じょうし)/社長",diff,lão bản
💼 Công việc & kinh doanh,经理,jīnglǐ,"quản lý, giám đốc",経理(けいり)= kế toán ⚠️ FALSE FRIEND,false,kinh lý
💼 Công việc & kinh doanh,职员,zhíyuán,nhân viên,,,chức viên
💼 Công việc & kinh doanh,工资,gōngzī,lương,給料(きゅうりょう)・tiếng Nhật dùng khác,diff,công tư
💼 Công việc & kinh doanh,奖金,jiǎngjīn,tiền thưởng,賞与(しょうよ)・tiếng Nhật dùng khác,diff,tưởng kim
💼 Công việc & kinh doanh,会议,huìyì,cuộc họp,会議(かいぎ)・cùng nghĩa!,same,hội nghị
💼 Công việc & kinh doanh,合同,hétóng,hợp đồng,合同(ごうどう)= hợp nhất ⚠️ FALSE FRIEND,false,hợp đồng
💼 Công việc & kinh doanh,项目,xiàngmù,"dự án, hạng mục",項目(こうもく)= mục/điểm mục ⚠️ nghĩa hơi khác,diff,hạng mục
💼 Công việc & kinh doanh,客户,kèhù,khách hàng,,,khách hộ
💼 Công việc & kinh doanh,产品,chǎnpǐn,sản phẩm,製品(せいひん)/商品(しょうひん)・tiếng Nhật dùng khác,diff,sản phẩm
💼 Công việc & kinh doanh,市场,shìchǎng,thị trường,市場(しじょう)・cùng nghĩa!,same,thị trường
💼 Công việc & kinh doanh,经济,jīngjì,kinh tế,経済(けいざい)・cùng nghĩa!,same,kinh tế
💼 Công việc & kinh doanh,银行,yínháng,ngân hàng,銀行(ぎんこう)・cùng nghĩa!,same,ngân hàng
💼 Công việc & kinh doanh,投资,tóuzī,đầu tư,投資(とうし)・cùng nghĩa!,same,đầu tư
💼 Công việc & kinh doanh,利润,lìrùn,lợi nhuận,,,lợi nhuận
💼 Công việc & kinh doanh,广告,guǎnggào,quảng cáo,広告(こうこく)・cùng nghĩa!,same,quảng cáo
💼 Công việc & kinh doanh,邮件,yóujiàn,"email, thư điện tử",,,bưu kiện
💼 Công việc & kinh doanh,文件,wénjiàn,"tài liệu, hồ sơ","文件・không dùng, tiếng Nhật dùng 書類(しょるい)/ファイル",diff,văn kiện
💼 Công việc & kinh doanh,办公室,bàngōngshì,văn phòng,,,biện công thất
💼 Công việc & kinh doanh,出差,chūchāi,"công tác, đi công tác",出張(しゅっちょう)・cùng nghĩa nhưng chữ khác,diff,xuất sai
💼 Công việc & kinh doanh,应聘,yìngpìn,ứng tuyển,,,ứng tuyển
💼 Công việc & kinh doanh,简历,jiǎnlì,"CV, hồ sơ xin việc",履歴書(りれきしょ)・tiếng Nhật dùng khác,diff,giản lịch
💼 Công việc & kinh doanh,面试,miànshì,phỏng vấn,,,diện thí
💼 Công việc & kinh doanh,辞职,cízhí,"từ chức, nghỉ việc",辞職(じしょく)・cùng nghĩa!,same,từ chức
💼 Công việc & kinh doanh,退休,tuìxiū,nghỉ hưu,"退職(たいしょく)・cùng nghĩa gần, tiếng Nhật dùng 定年退職",same,thoái hưu
🏥 Sức khỏe & y tế,医院,yīyuàn,bệnh viện,医院(いいん)= phòng khám nhỏ ⚠️ FALSE FRIEND! 病院(びょういん) mới là bệnh viện lớn,false,y viện
🏥 Sức khỏe & y tế,医生,yīshēng,bác sĩ,医者(いしゃ)・tiếng Nhật dùng khác chữ,diff,y sinh
🏥 Sức khỏe & y tế,护士,hùshi,y tá,,,hộ sĩ
🏥 Sức khỏe & y tế,病人,bìngrén,bệnh nhân,病人(びょうにん)・cùng nghĩa!,same,bệnh nhân
🏥 Sức khỏe & y tế,生病,shēngbìng,bị bệnh,,,sinh bệnh
🏥 Sức khỏe & y tế,感冒,gǎnmào,cảm cúm,感冒(かんぼう)・cùng nghĩa nhưng ít dùng trong tiếng Nhật hội thoại,same,cảm mạo
🏥 Sức khỏe & y tế,发烧,fāshāo,sốt,,,phát thiêu
🏥 Sức khỏe & y tế,头疼,tóuténg,đau đầu,,,đầu thống
🏥 Sức khỏe & y tế,肚子疼,dùzi téng,đau bụng,,,phúc thống
🏥 Sức khỏe & y tế,咳嗽,késou,ho,,,khái thấu
🏥 Sức khỏe & y tế,药,yào,thuốc,薬(くすり)・cùng nghĩa (kanji khác dạng),same,dược
🏥 Sức khỏe & y tế,打针,dǎzhēn,tiêm thuốc,,,đả châm
🏥 Sức khỏe & y tế,手术,shǒushù,phẫu thuật,手術(しゅじゅつ)・cùng nghĩa!,same,thủ thuật
🏥 Sức khỏe & y tế,检查,jiǎnchá,kiểm tra (sức khỏe),検査(けんさ)・cùng nghĩa!,same,kiểm tra
🏥 Sức khỏe & y tế,血型,xuèxíng,nhóm máu,血液型(けつえきがた)・tiếng Nhật dùng dài hơn,diff,huyết hình
🏥 Sức khỏe & y tế,过敏,guòmǐn,dị ứng,過敏(かびん)= quá nhạy cảm ⚠️ nghĩa hẹp hơn,diff,quá mẫn
🏥 Sức khỏe & y tế,健康,jiànkāng,"sức khỏe, khỏe mạnh",健康(けんこう)・cùng nghĩa!,same,kiện khang
🏥 Sức khỏe & y tế,休息,xiūxi,nghỉ ngơi,休息(きゅうそく)・cùng nghĩa!,same,hưu tức
🏥 Sức khỏe & y tế,锻炼,duànliàn,tập thể dục,鍛錬(たんれん)= rèn luyện kỹ năng/tinh thần ⚠️ nghĩa rộng hơn,diff,đoán luyện
🏥 Sức khỏe & y tế,睡眠,shuìmián,giấc ngủ,睡眠(すいみん)・cùng nghĩa!,same,thụy miên
🏥 Sức khỏe & y tế,减肥,jiǎnféi,giảm cân,,,giảm phì
🏥 Sức khỏe & y tế,营养,yíngyǎng,dinh dưỡng,栄養(えいよう)・cùng nghĩa nhưng chữ khác,diff,dinh dưỡng
🏥 Sức khỏe & y tế,心情,xīnqíng,tâm trạng,心情(しんじょう)・cùng nghĩa!,same,tâm tình
🏥 Sức khỏe & y tế,压力,yālì,áp lực,プレッシャー tiếng Nhật thường dùng katakana,diff,áp lực
🏥 Sức khỏe & y tế,伤,shāng,vết thương,,,thương
🏥 Sức khỏe & y tế,痛,tòng,đau,痛(いた-)・cùng nghĩa!,same,thống
🏥 Sức khỏe & y tế,严重,yánzhòng,nghiêm trọng,厳重(げんじゅう)= nghiêm ngặt ⚠️ FALSE FRIEND,false,nghiêm trọng
🏥 Sức khỏe & y tế,危险,wēixiǎn,nguy hiểm,危険(きけん)・cùng nghĩa!,same,nguy hiểm
🏥 Sức khỏe & y tế,安全,ānquán,an toàn,安全(あんぜん)・cùng nghĩa!,same,an toàn
